,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people)
12120,24.28,495,Medavakkam,1.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,2.0
12121,46.28,960,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12122,40.69,830,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12123,37.89,765,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12124,50.9,1020,Pallikaranai,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12125,49.55,990,Pallikaranai,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12126,63.95,1310,Pallikaranai,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12127,65.3,1340,Pallikaranai,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12128,51.5,952,Sunnambu Kolathur S Kolathur,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12129,68.04,1270,Sunnambu Kolathur S Kolathur,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12130,71.16,1330,Sunnambu Kolathur S Kolathur,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12131,67.0,1250,Sunnambu Kolathur S Kolathur,3.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,6.0
12132,60.1,1020,Madipakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12133,55.25,950,Madipakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12134,53.4,880,Madipakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12135,53.48,990,Sunnambu Kolathur S Kolathur,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12136,53.48,990,Sunnambu Kolathur S Kolathur,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12137,49.84,920,Sunnambu Kolathur S Kolathur,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12138,52.44,970,Sunnambu Kolathur S Kolathur,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12139,48.36,945,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12140,51.26,1068,Medavakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12141,91.98,1260,Velachery,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12142,41.72,843,tambaram west,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12143,46.13,932,tambaram west,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12144,49.5,1000,tambaram west,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12145,60.1,1020,Madipakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12146,55.25,950,Madipakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12147,53.4,880,Madipakkam,2.0,0,0.0,0.0,0.0,0.0,0.0,Chennai,1,1,4.0
12148,91.98,1260,Velachery,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12149,41.72,843,tambaram west,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12150,46.13,932,tambaram west,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12151,49.5,1000,tambaram west,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12152,54.45,1100,tambaram west,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12153,41.74,859,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12154,46.89,965,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12155,60.76,1266,Rajakilpakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12156,51.3,950,Kilkattalai,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12157,48.6,900,Kilkattalai,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12158,42.57,860,Pallikaranai,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12159,43.56,880,Pallikaranai,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12160,44.88,1020,Kovilambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12161,55.44,1260,Kovilambakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12162,50.22,930,Kilkattalai,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12163,40.7,925,Kovilambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12164,38.28,870,Kovilambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12165,39.53,869,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12166,47.18,983,Sembakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12167,51.16,1066,Rajakilpakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12168,41.4,900,Madambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12169,41.76,870,Sembakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12170,42.9,975,Kovilambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12171,38.89,884,Kovilambakkam,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
12172,71.3,1150,Pallikaranai,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12173,48.0,975,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,1.0,Chennai,1,0,4.0
12174,48.0,975,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,1.0,Chennai,1,0,4.0
12175,44.0,879,Selaiyur,2.0,1,0.0,0.0,0.0,0.0,1.0,Chennai,1,0,4.0
12176,33.67,732,Medavakkam,2.0,1,0.0,0.0,0.0,0.0,1.0,Chennai,0,0,4.0
12177,43.0,884,Madipakkam,2.0,1,0.0,0.0,0.0,0.0,1.0,Chennai,1,0,4.0
12178,32.2,700,Medavakkam,2.0,1,0.0,0.0,0.0,0.0,1.0,Chennai,0,0,4.0
12179,59.21,1048,Chromepet,3.0,1,0.0,0.0,0.0,0.0,1.0,Chennai,1,0,6.0
12180,54.6,1200,Sembakkam,3.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,6.0
12181,42.99,945,Chromepet,2.0,1,0.0,0.0,0.0,0.0,0.0,Chennai,0,0,4.0
